filename,caption_from_docs,caption_in_spreadsheet
fig_01_01.jpg,"Fig. 1.1 Hydraulic capstan, Liverpool 1901.","Fig. 1.1 Hydraulic capstan, Liverpool 1901."
fig_01_02.svg,Fig 2. With rope over a single-wheel pulley.  A net full of fish would be too heavy to lift.,
fig_01_03.svg,Fig 3. Wrap the rope around a rotating cylinder and it becomes easy to lift heavy loads.,Fig 1.3. Wrap the rope around a rotating cylinder and it becomes easy to lift heavy loads.
fig_01_04.svg,"Fig. 4.  A rope round a rotating cylinder making contact around a small arc dθ, the tension increases by a small amount dT on account of friction.","Fig. 1.4.  A rope round a rotating cylinder making contact around a small arc dθ, the tension increases by a small amount dT on account of friction."
fig_01_05a.svg,NOT FOUND IN DOC,"Fig. 1.5. Forces and velocities on a locked wheel. (a) Car moving forward with velocity v, (b) diagram showing the road moving relative to the wheel."
fig_01_05b.svg,NOT FOUND IN DOC,"Fig. 1.5. Forces and velocities on a locked wheel. (a) Car moving forward with velocity v, (b) diagram showing the road moving relative to the wheel."
fig_01_06a.svg,NOT FOUND IN DOC,Fig. 1.6. (a) Frictional and centrifugal force on a turning car. (b) The forces if the hand brake is applied.
fig_01_06b.svg,NOT FOUND IN DOC,Fig. 1.6. (a) Frictional and centrifugal force on a turning car. (b) The forces if the hand brake is applied.
fig_01_07.svg,Fig. 7. The principle of Ackerman steering. All wheels rotate around the same point. This cyclist is borderline safe in this illustration.,Fig. 1.7. The principle of Ackerman steering. All wheels rotate round the same point. This cyclist is borderline safe in this illustration.
fig_01_08.svg,Fig. 8. The Geometry of Ackerman steering.  The linkage creates the angles shown in Fig 1.7.,Fig. 1.8. The Geometry of Ackerman steering.  The linkage creates the angles shown in Fig 1.7.
fig_01_09a.svg,NOT FOUND IN DOC,"Fig. 1.9. The Ackerman design isn't perfect but it works pretty well.  Ideally x will always be equal to x0, but this only happens exactly at φ=48 degrees."
fig_01_09b.svg,NOT FOUND IN DOC,"Fig. 1.9. The Ackerman design isn't perfect but it works pretty well.  Ideally x will always be equal to x0, but this only happens exactly at φ=48 degrees."
fig_01_10a.png,NOT FOUND IN DOC,Fig. 1.10. (a)  φ = 16° and (b) φ = 48°
fig_01_10b.png,NOT FOUND IN DOC,Fig. 1.10. (a)  φ = 16° and (b) φ = 48°
fig_01_11.jpg,Fig. 11.  An epicyclic or planetary gear.  OUP: COPYRIGHT INFRINGING.  I HAVE A POOR PHOTO OF A 3D PRINTED PLANETARY GEAT IN CUED.  I COULD GET A BETTER PHOTO,Fig. 1.11.  An epicyclic or planetary gear. COPYRIGHT INFRINGING.  I HAVE A POOR PHOTO OF A 3D PRINTED PLANETARY GEAT IN CUED.  I COULD GET A BETTER PHOTO
fig_01_12.svg,Fig. 12. It is curious that with a left-handed thread the left pedal of a bicycle pedal doesn’t come loose,Fig. 1.12. It is curious that with a left-handed thread the left pedal of a bicycle pedal doesn’t come loose.
fig_01_13.svg,Fig. 13.  The right side bicycle pedal,Fig. 1.13.  The right side bicycle pedal
fig_01_14a.svg,NOT FOUND IN DOC,Fig. 1.14. Exaggerated clearance between the crank and pedal threads.
fig_01_14b.svg,NOT FOUND IN DOC,Fig. 1.14. Exaggerated clearance between the crank and pedal threads.
fig_01_14c.svg,NOT FOUND IN DOC,Fig. 1.14. Exaggerated clearance between the crank and pedal threads.
fig_01_15a.svg,NOT FOUND IN DOC,Fig. 1.15. The R-L circuit model of a dynamo and the voltage generated for slow and fast cycling.
fig_01_15b.svg,NOT FOUND IN DOC,Fig. 1.15. The R-L circuit model of a dynamo and the voltage generated for slow and fast cycling.
fig_02_01a.jpg,NOT FOUND IN DOC,Fig. 2.1. A sub-ocean cable
fig_02_01b.png,NOT FOUND IN DOC,Fig. 2.1. A sub-ocean cable
fig_02_02.jpg,"Fig. 2. The Great Eastern setting out from Ireland trailing the Cable. The pulses were broadened significantly on arrival and Kelvin explained this by treating the cable as a distributed R-C circuit.  About six to eight words per minute could be sent.  I DON'T KNOW WHERE THIS IMAGE COMES FROM.  WE COULD USE THIS ONE?  https://www.meisterdrucke.fr/fine-art-prints/French-School/967160/SS-Great-Eastern,-navire-%C3%A0-vapeur-en-fer-con%C3%A7u-par-Isambard-Kingdom-Brunel,-de-Les-Merveilles-de-la-Science,-publi%C3%A9-vers-1870-(gravure).html",Fig. 2.2. The Great Eastern setting out from Ireland trailing the Cable. The pulses were broadened significantly on arrival and Kelvin explained this by treating the cable as a distributed R-C circuit.  About six to eight words per minute could be sent.
fig_02_03.svg,"Fig. 3.  Heaviside’s circuit model of a cable, which now appears in every undergraduate course of electrical engineering.  The parameters per unit length are a resistance R, an inductance L, a capacitance C and a leakage conductance G.   I DON'T KNOW WHERE THESE COME FROM - I DON'T THINK ARCHIE DREW THEM.","Fig. 2.3.  Heaviside’s circuit model of a cable, which now appears in every undergraduate course of electrical engineering.  The parameters per unit length are a resistance R, an inductance L, a capacitance C and a leakage conductance G."
fig_02_04.png,Fig. 4. The input and output voltage of a rectangular unit pulse lasting 0.1 seconds. A 1 volt input voltage for 0.1 seconds (red) and the result at the far end of the cable (blue).  HUGH DID THIS IN MATLAB.,Fig. 2.4. The input and output voltage of a rectangular unit pulse lasting 0.1 seconds. A 1 volt input voltage for 0.1 seconds (red) and the result at the far end of the cable (blue).
fig_02_05.jpg,Fig. 5. A typical received signal (1922 Scientific American).,Fig. 2.5. A typical received signal (1922 Scientific American).
fig_02_06.png,"Fig. 6. The calculated decay length in metres for an ADSL line as a function of frequency, . The decay length is the distance at which the signal whill have dropped to 37% of its original amplitude.  HUGH DID THIS IN MATLAB.","Fig. 2.6. The calculated decay length in metres for an ADSL line as a function of frequency,  . The decay length is the distance at which the signal whill have dropped to 37% of its original amplitude."
fig_02_07.svg,Fig. 7. The electrostatics of a charge and a conducting sphere.,Fig. 2.7. The electrostatics of a charge and a conducting sphere.
fig_02_08.png,"Fig. 8. shows a sphere of radius a in an infinite conducting medium with a current I transmitting at a voltage V.  Since current is conserved, the current density at a distance r is J = I/4πr2 . If the resistivity of the medium is ρ, then E = ρJ = ρI/ 4πr2.  The voltage V is the integral of E, V = ρI/ 4πa so the resistance to earth is ρ/ 4πa.  A more realistic geometry is the half plane shown by the dotted line (a hemisphere at the surface), which doubles the resistance. A typical clay soil might have a resistivity of 20 ohm m so a 1 m radius sphere, (or flat plate) would have an earth resistance of about 3 ohms, very much less than the cable resistance, but, as discussed below, the situation is not quite so simple.  In sea water it would be a factor 100 lower.",Fig. 2.8. Current flowing from a sphere in an infinite conducting medium.
fig_02_09a.jpg,NOT FOUND IN DOC,"Fig. 2.9. (a) A cow, (b) a cow equivalent circuit and (c) a human with legs together."
fig_02_09b.png,NOT FOUND IN DOC,"Fig. 2.9. (a) A cow, (b) a cow equivalent circuit and (c) a human with legs together."
fig_02_09c.png,NOT FOUND IN DOC,"Fig. 2.9. (a) A cow, (b) a cow equivalent circuit and (c) a human with legs together."
fig_03_01a.jpg,NOT FOUND IN DOC,Fig. 3.1. The Normandy landings.   Note that the tide is very low.
fig_03_01b.jpg,NOT FOUND IN DOC,Fig. 3.1. The Normandy landings.   Note that the tide is very low.
fig_03_02.png,Fig. 2. The centrifugal/centripetal force debate.,Fig. 3.2. The centrifugal/centripetal force debate.
fig_03_03.svg,Fig. 3. The earth orbiting the moon and the moon orbiting the earth.,"Fig. 3.3. The earth orbiting the moon and the moon orbiting the earth.  Note that the centre of gravity is actually within the radius of the Earth, but it’s shown here outside the Earth for clarity."
fig_03_04.svg,Fig. 4. Bulge in levels of water as due to the difference in forces experienced on either side of the earth.,Fig. 3.4. Bulge in levels of water as due to the difference in forces experienced on either side of the earth.
fig_03_05.svg,"Figure 5 shows three small bodies of unit mass, initially in contact, attracted by a mass M.  Their accelerations, starting with the left-most, are MG/(d+a2), MG/d2 and MG/(d-a)2.  After a short time t, they become separated by a distance  L=t2a/d3 and, to first order, the bodies are still symmetric about the centre mass.  The Schumacher Levy comet approaching Jupiter was pulled apart as a result of these forces.  Fortunately, our moon is less disruptive and just produces a symmetric bulge, which is static because of the added orbital velocity.",Fig. 3.5. Three masses initially in contact and after a time t.
fig_03_06.svg,Fig. 6. The pressure gradient in curved stream-lines.,Fig. 3.6. The pressure gradient in curved stream-lines.
fig_03_07.svg,Fig. 7. Distances between the earth and moon used to calculate the height of tides using pressure.,Fig. 3.7. Distances between the earth and moon used to calculate the height of tides using pressure.
fig_03_08.svg,Fig. 8. Distances between the earth and moon used to calculate the height of tides using acceleration. The accelerations at P and O with the vector distances are shown.,Fig. 3.8. Distances between the earth and moon used to calculate the height of tides using acceleration. The accelerations at P and O with the vector distances are shown.
fig_03_09a.svg,NOT FOUND IN DOC,Fig. 3.9. The components and resultant accelerations at four points on the earth’s surface. (a) Accelerations relative to the earth due to the forces from the moon. (b) accelerations resolved tangential and radial to the surface. (c) Tangential components are responsible for moving water on the surface of the earth.
fig_03_09b.svg,NOT FOUND IN DOC,Fig. 3.9. The components and resultant accelerations at four points on the earth’s surface. (a) Accelerations relative to the earth due to the forces from the moon. (b) accelerations resolved tangential and radial to the surface. (c) Tangential components are responsible for moving water on the surface of the earth.
fig_03_09c.svg,NOT FOUND IN DOC,Fig. 3.9. The components and resultant accelerations at four points on the earth’s surface. (a) Accelerations relative to the earth due to the forces from the moon. (b) accelerations resolved tangential and radial to the surface. (c) Tangential components are responsible for moving water on the surface of the earth.
fig_03_10.png,Fig. 10. The acceleration is balanced by gravity at a slope ψ.,Fig. 3.10. The acceleration is balanced by gravity at a slope ψ.
fig_04_01.jpg,"Fig.1. Slinky spring  OUP THIS IS A SCREEN SHOT FROM THE ONE SHOW, EPISODE 7pm 4 April 2014 https://www3.eng.cam.ac.uk/~hemh1/tv.htm#slinkies",Fig.4.1. Slinky spring
fig_04_02.jpg,Fig. 2. The Wren Library  OUP:  TRINITY COLLEGE CAMBRIDGE. I CAN TAKE THIS PHOTO IF IT IS PROBLEMATIC,Fig. 4.2. The Wren Library
fig_04_03.jpg,Fig. 3. Speckled laser light.   OUP:   I DON'T KNOW WHERE THIS IMAGE COMES FROM,Fig. 4.3. Speckled laser light.
fig_04_04.jpg,Fig. 4. Crepuscular rays at sunset   OUP:   I DON'T KNOW WHERE THIS IMAGE COMES FROM,Fig. 4.4. Crepuscular rays at sunset
fig_04_05.jpg,Fig. 5. Cloud Shadows imaged from above (NASA photograph). They are parallel.  OUP:   I DON'T KNOW WHERE THIS IMAGE COMES FROM,Fig. 4.5. Cloud Shadows imaged from above (NASA photograph).
fig_04_06.jpg,Fig. 6. Anticrepuscular rays  (Wikipedia) https://en.wikipedia.org/wiki/Anticrepuscular_rays,Fig. 4.6. Anticrepuscular rays (Wikipedia)
fig_04_07.jpeg,"Fig. 7. Crepuscular Rays in St Peter’s Basilica, Rome (Wikipaedia).  NOT QUITE THE SAME IMAGE https://en.wikipedia.org/wiki/St._Peter%27s_Basilica#/media/File:%D0%91%D0%B0%D0%B7%D0%B8%D0%BB%D0%B8%D0%BA%D0%B0_%D0%A1%D0%B2%D0%B5%D1%82%D0%BE%D0%B3_%D0%9F%D0%B5%D1%82%D1%80%D0%B0,_%D0%92%D0%B0%D1%82%D0%B8%D0%BA%D0%B0%D0%BD.jpg","Fig. 4.7. Crepuscular Rays in St Peter’s Basilica, Rome (Wikipaedia)"
fig_04_08a.svg,NOT FOUND IN DOC,Fig. 4.8. Fresnel theory. (a) Plane waves of light can be represented by a number of point sources along the wavefront. (b) Diffraction through an aperture.
fig_04_08b.png,NOT FOUND IN DOC,Fig. 4.8. Fresnel theory. (a) Plane waves of light can be represented by a number of point sources along the wavefront. (b) Diffraction through an aperture.
fig_04_10.jpeg,Fig. 10. The polarisation pattern around the sun,Fig. 4.10. The polarisation pattern around the sun
fig_04_11.png,Fig. 11. Laser light multiply scattered by particles gives rise to a random distribution of intensity.,Fig. 4.11. Laser light multiply scattered by particles gives rise to a random distribution of intensity.
fig_04_12.png,Fig. 12  The Mexican Hat function  THERE ARE LOTS OF THESE ONLINE https://www.researchgate.net/publication/262569642_Wavelet_neural_network_applied_for_prognostication_of_contact_pressure_between_soil_and_driving_wheel/figures,Fig. 4.12  The Mexican Hat function  OUP:  THERE ARE LOTS OF THESE ONLINE https://www.researchgate.net/publication/262569642_Wavelet_neural_network_applied_for_prognostication_of_contact_pressure_between_soil_and_driving_wheel/figures
fig_04_13.png,Fig. 13 Variation of energy/intensity with distance from the origin,Fig. 4.13 Variation of energy/intensity with distance from the origin
fig_04_14.png,Fig.14.    Refracted and reflected rays with the direction of the electric field.,Fig.4.14. Refracted and reflected rays with the direction of the electric field.
fig_05_01a.jpeg,NOT FOUND IN DOC,Fig. 5.1. The Airbus 380   OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM
fig_05_01b.jpeg,NOT FOUND IN DOC,Fig. 5.1. The Airbus 380   OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM
fig_05_02a.svg,NOT FOUND IN DOC,"Fig. 5.2. Flow around a flat sheet for the case of zero viscosity. (a) the flow underneath the sheet is forced to curve but the flow above is unaltered. (b)  pressure distribution along the dotted line (ABC), showing high pressure under the sheet which generates lift."
fig_05_02b.svg,NOT FOUND IN DOC,"Fig. 5.2. Flow around a flat sheet for the case of zero viscosity. (a) the flow underneath the sheet is forced to curve but the flow above is unaltered. (b)  pressure distribution along the dotted line (ABC), showing high pressure under the sheet which generates lift."
fig_05_03a.svg,NOT FOUND IN DOC,"Fig 5.3. Flow around a flat sheet with viscosity. (a) The flow underneath and above the sheet is forced to curve. (b)  Pressure distribution along the dotted line (ABC), showing high pressure under the sheet and low pressure above the sheet, which generates more lift."
fig_05_03b.svg,NOT FOUND IN DOC,"Fig 5.3. Flow around a flat sheet with viscosity. (a) The flow underneath and above the sheet is forced to curve. (b)  Pressure distribution along the dotted line (ABC), showing high pressure under the sheet and low pressure above the sheet, which generates more lift."
fig_05_04.png,Fig. 4.  Potential flow round a sheet. Lift and drag are zero.  OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM,Fig. 5.4.  Potential flow round a sheet. Lift and drag are zero. OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM
fig_05_05.svg,Fig. 5.  Flow round a rotating cylinder.   OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM,Fig. 5.5.  Flow round a rotating cylinder.  OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM
fig_05_06a.svg,NOT FOUND IN DOC,"Fig. 5.6. The flow around an airfoil with zero circulation (a), overview of the flow. (b) Close-up of the trailing edge noting that the flow is unrealistic. (c) Velocity around the airfoil’s surface from A to D and back to A.OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM"
fig_05_06b.svg,NOT FOUND IN DOC,"Fig. 5.6. The flow around an airfoil with zero circulation (a), overview of the flow. (b) Close-up of the trailing edge noting that the flow is unrealistic. (c) Velocity around the airfoil’s surface from A to D and back to A.OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM"
fig_05_06c.svg,NOT FOUND IN DOC,"Fig. 5.6. The flow around an airfoil with zero circulation (a), overview of the flow. (b) Close-up of the trailing edge noting that the flow is unrealistic. (c) Velocity around the airfoil’s surface from A to D and back to A.OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM"
fig_05_07a.png,NOT FOUND IN DOC,"Fig. 5.7. The flow around an airfoil with circulation, c = 4.8 (a), overview of the flow. (b) Close-up of the trailing edge noting that the discontinuity has disappeared. (c) Velocity around the airfoil’s surface.  OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM"
fig_05_07b.png,NOT FOUND IN DOC,"Fig. 5.7. The flow around an airfoil with circulation, c = 4.8 (a), overview of the flow. (b) Close-up of the trailing edge noting that the discontinuity has disappeared. (c) Velocity around the airfoil’s surface.  OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM"
fig_05_07c.png,NOT FOUND IN DOC,"Fig. 5.7. The flow around an airfoil with circulation, c = 4.8 (a), overview of the flow. (b) Close-up of the trailing edge noting that the discontinuity has disappeared. (c) Velocity around the airfoil’s surface.  OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM"
fig_05_08a.png,NOT FOUND IN DOC,"Fig. 5.8. Flow around a wing with a flap with (a), c =0 and (b) c = 6.1."
fig_05_08b.png,NOT FOUND IN DOC,"Fig. 5.8. Flow around a wing with a flap with (a), c =0 and (b) c = 6.1."
fig_05_09.png,Fig. 9.  Streamlines in the ground effect.  OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM,Fig. 5.9.  Streamlines in the ground effect.  OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM
fig_05_10a.svg,NOT FOUND IN DOC,"Fig. 5.10. A boat sailing into the wind. (a) a boat moving with velocity v against a wind with velocity w. (b) The velocity of the wind relative to the boat vw/b is obtained by vector subtraction. (c) the wind moving around the curved sail generates a force f normal to the sail with components fv in the direction of the boat velocity and fk, which is a force resisted by the keel."
fig_05_10b.svg,NOT FOUND IN DOC,"Fig. 5.10. A boat sailing into the wind. (a) a boat moving with velocity v against a wind with velocity w. (b) The velocity of the wind relative to the boat vw/b is obtained by vector subtraction. (c) the wind moving around the curved sail generates a force f normal to the sail with components fv in the direction of the boat velocity and fk, which is a force resisted by the keel."
fig_05_10c.svg,NOT FOUND IN DOC,"Fig. 5.10. A boat sailing into the wind. (a) a boat moving with velocity v against a wind with velocity w. (b) The velocity of the wind relative to the boat vw/b is obtained by vector subtraction. (c) the wind moving around the curved sail generates a force f normal to the sail with components fv in the direction of the boat velocity and fk, which is a force resisted by the keel."
fig_05_11a.svg,NOT FOUND IN DOC,"Fig 5.11. A boat sailing downwind faster than the wind (a) the boat moves with velocity v with a wind with velocity w. (b) The velocity of the wind relative to the boat vw/b is obtained by vector subtraction. (c) Even though the boat is moving faster than the wind, there is still a force in the direction of the boat."
fig_05_11b.svg,NOT FOUND IN DOC,"Fig 5.11. A boat sailing downwind faster than the wind (a) the boat moves with velocity v with a wind with velocity w. (b) The velocity of the wind relative to the boat vw/b is obtained by vector subtraction. (c) Even though the boat is moving faster than the wind, there is still a force in the direction of the boat."
fig_05_11c.svg,NOT FOUND IN DOC,"Fig 5.11. A boat sailing downwind faster than the wind (a) the boat moves with velocity v with a wind with velocity w. (b) The velocity of the wind relative to the boat vw/b is obtained by vector subtraction. (c) Even though the boat is moving faster than the wind, there is still a force in the direction of the boat."
fig_05_12.png,Fig. 12. Potential flow round a sail.   OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM,Fig. 5.12. Potential flow round a sail.  OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM
fig_06_01a.png,NOT FOUND IN DOC,"Fig. 6.1. The “wireless”, then and now!"
fig_06_01b.png,NOT FOUND IN DOC,"Fig. 6.1. The “wireless”, then and now!"
fig_06_02.svg,Fig. 2. Hertz’s Apparatus.,Fig. 6.2. Hertz’s Apparatus.   THIS SEEMS TO BE FROM WIKIP.
fig_06_03a.png,NOT FOUND IN DOC,"Fig. 6.3. de Forest’s investigation of the use of flames as a detector¬. (a) a flame detector, (b) The flame is replaced by a heated gas in an envelop, (c) The final de Forest company version before it went out of business.  OUP:  These IMAGES  ARE FROM Here:  https://www.leedeforest.org/The_Audion.html"
fig_06_03b.png,NOT FOUND IN DOC,"Fig. 6.3. de Forest’s investigation of the use of flames as a detector¬. (a) a flame detector, (b) The flame is replaced by a heated gas in an envelop, (c) The final de Forest company version before it went out of business.  OUP:  These IMAGES  ARE FROM Here:  https://www.leedeforest.org/The_Audion.html"
fig_06_03c.png,NOT FOUND IN DOC,"Fig. 6.3. de Forest’s investigation of the use of flames as a detector¬. (a) a flame detector, (b) The flame is replaced by a heated gas in an envelop, (c) The final de Forest company version before it went out of business.  OUP:  These IMAGES  ARE FROM Here:  https://www.leedeforest.org/The_Audion.html"
fig_06_04a.jpg,NOT FOUND IN DOC,"Fig. 6.4.  The triode valve. 
Photo: ScAvenger, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons
Line diagram - done by Diarmid - original lost"
fig_06_04b.png,NOT FOUND IN DOC,"Fig. 6.4.  The triode valve. 
Photo: ScAvenger, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons
Line diagram - done by Diarmid - original lost"
fig_06_05a.svg,NOT FOUND IN DOC,"Fig. 6.5. The basic triode valve. (a) Principal components, anode, heated cathode and wire mesh. (b) Analysis using image charges."
fig_06_05b.svg,NOT FOUND IN DOC,"Fig. 6.5. The basic triode valve. (a) Principal components, anode, heated cathode and wire mesh. (b) Analysis using image charges."
fig_06_06.svg,Figure 6.  A complete triode amplifier,Figure 6.6.  A complete triode amplifier
fig_07_01a.jpg,NOT FOUND IN DOC,"Fig. 7.1. Schrodinger’s cat: Simultaneously dead and alive!  
https://www.popularmechanics.com/science/a43699474/scientists-created-the-fattest-schrodingers-cat-ever/
Underground source unknown"
fig_07_01b.png,NOT FOUND IN DOC,"Fig. 7.1. Schrodinger’s cat: Simultaneously dead and alive!  
https://www.popularmechanics.com/science/a43699474/scientists-created-the-fattest-schrodingers-cat-ever/
Underground source unknown"
fig_07_02.svg,"Figure 2 shows the vapour pressures of a large number of elements as a function of temperature.  Since the vapour is thermally activated from the solid, or liquid, to the gas phase we expect the vapour pressure to be proportional to exp(-U/kT) where U is the activation energy, k is Boltzman’s constant and T the absolute temperature.  From the above, therefore, we expect U to be a few electron volts.",Fig. 7.2. The structure of an alkali metal.
fig_07_03.png,"Figure 3 is an Arrhenius plot of log pressure against 1/T, which should be a straight line whose gradient gives the activation energy.  This works very well. It can be seen that, although the vapour pressures vary by ten orders of magnitudes, the gradients vary by only a factor of ten.  For carbon U = 8  eV and for mercury U = 0.5eV with all the other elements between them.  We see that our argument that all atomic binding energies are, within an order of magnitude, a few electron volts is borne out.",Fig. 7.3. log vapour pressure plotted against 1/T.
fig_07_04a.svg,NOT FOUND IN DOC,"Fig. 7.4. Electrons moving around an atom exhibit a characteristic wave function. (a) For a single atom, this is a sinewave whose half wavelength is the diameter of the orbit.  (b) For a molecule or metallic bond, the electrons have access to a wider volume hence the wavelength is longer."
fig_07_04b.svg,NOT FOUND IN DOC,"Fig. 7.4. Electrons moving around an atom exhibit a characteristic wave function. (a) For a single atom, this is a sinewave whose half wavelength is the diameter of the orbit.  (b) For a molecule or metallic bond, the electrons have access to a wider volume hence the wavelength is longer."
fig_07_05.png,NOT FOUND IN DOC,Fig. 7.5. The lowest four oscillation modes (energy levels) for a 2D membrane (drum skin)
fig_08_01.jpg,"Fig. 1. A Garmin GPS38, purchased in 1996.  I wonder if it still works?","Fig. 8.1. A Garmin GPS38, purchased in 1996.  I wonder if it still works?   HUGH HAS ONE, CAN TAKE A PHOTO OF IT"
fig_08_02.png,"Fig. 2.  Two satellites A and B. Circles are shown on the surface of the Earth, the perimeters of which have equal signal arrival times from each of the satellites.","Fig. 8.2.  Two satellites A and B. Circles are shown on the surface of the Earth, the perimeters of which have equal signal arrival times from each of the satellites."
fig_08_03.svg,"Fig. 3.  The projection of the circles from satellites A (orange) and B (blue) at two times T1 (solid) and T2 (dashed).  The signal at T1 alone fixes the receiver at either R1 or R1’. An additional satellite fix is required to remove the ambiguity. Alternatively, the signal at T2 can be used provided that the receiver is known not to have moved any appreciable distance. In choosing between R2 and R2’, R2 makes better sense.","Fig. 8.3.  The projection of the circles from satellites A (orange) and B (blue) at two times T1 (solid) and T2 (dashed).  The signal at T1 alone fixes the receiver at either R1 or R1’. An additional satellite fix is required to remove the ambiguity. Alternatively, the signal at T2 can be used provided that the receiver is known not to have moved any appreciable distance. In choosing between R2 and R2’, R2 makes better sense."
fig_08_04.jpeg,Fig. 4.  A solution on a plane for three satellites.  The three solid circles show constant arrival times for three satellites.  Two solutions are possible.,Fig. 8.4.  A solution on a plane for three satellites.  The three solid circles show constant arrival times for three satellites.  Two solutions are possible.
fig_09_01a.jpg,NOT FOUND IN DOC,Figure 9.1. Barnes Wallis and his Dambusters  OUP:  THE LEFT IMAGE IS FROM DAMBUSTERS: BUILDING THE BOUNCING BOMB 2 MAY 2011 CHANNEL 4 https://www3.eng.cam.ac.uk/~hemh1/tv.htm#DAMBUSTERS   THE RIGHT IMAGE IS FROM WIKI https://en.wikipedia.org/wiki/M%C3%B6hne_Reservoir#/media/File:Mohne_Dam_Breached.jpg
fig_09_01b.jpg,NOT FOUND IN DOC,Figure 9.1. Barnes Wallis and his Dambusters  OUP:  THE LEFT IMAGE IS FROM DAMBUSTERS: BUILDING THE BOUNCING BOMB 2 MAY 2011 CHANNEL 4 https://www3.eng.cam.ac.uk/~hemh1/tv.htm#DAMBUSTERS   THE RIGHT IMAGE IS FROM WIKI https://en.wikipedia.org/wiki/M%C3%B6hne_Reservoir#/media/File:Mohne_Dam_Breached.jpg
fig_09_02.svg,Figure 2. The pressure gradient in curved streamlines,Figure 9.2. The pressure gradient in curved streamlines
